Label: PD PGCE
Metric: Phase Object Confluence (Percent)
Cell Type: Jag1-B
Passage: 1
Notes: 
Analysis Job: PD PGCE

Date Time	Elapsed	A1	B1	C1	D1	E1	F1	G1	H1	A2	B2	C2	D2	E2	F2	G2	H2	A3	B3	C3	D3	E3	F3	G3	H3	A4	B4	C4	D4	E4	F4	G4	H4	A5	B5	C5	D5	E5	F5	G5	H5	A6	B6	C6	D6	E6	F6	G6	H6	A7	B7	C7	D7	E7	F7	G7	H7	A8	B8	C8	D8	E8	F8	G8	H8	A9	B9	C9	D9	E9	F9	G9	H9	A10	B10	C10	D10	E10	F10	G10	H10	A12	B12	C12	D12	E12	F12	G12	H12
24/10/2017 14:00:00	0	15.51602	17.89633	22.02438	13.15363	14.89127	21.74966	20.99089	19.94967	20.89988	6.17256	21.9029	29.17552	12.20772	18.03251	5.040123	11.16608	9.295146	7.298216	8.918428	14.24453	5.526684	3.879368	8.356811	3.499885	6.681171	3.259627	7.093608	4.313339	3.039716	1.067051	10.78537	6.137166	1.45023	9.302191	10.36773	9.299713	10.27136	3.960731	8.455177	6.558732	1.950613	2.268536	4.14187	5.290092	5.070338	11.82603	9.887502	5.441919	6.87646	10.39901	15.77882	8.463665	4.620912	15.24061	12.19991	18.67443	9.432799	2.583343	12.96473	8.029433	3.47613	15.0287	9.706934	14.09341	4.670544	10.35718	10.57022	8.570873	3.022037	3.22848	12.41928	7.423875	4.135313	8.815401	21.03451	13.33953	2.632653	3.179069	8.897023	8.851599	1.692321	2.028535	3.777272	7.539275	6.087341	10.45379	9.187198	16.0901
24/10/2017 17:00:00	3	16.16579	18.87492	24.64066	14.00855	16.26221	23.52516	24.80278	22.41932	21.23664	6.338524	24.76026	34.19394	13.34727	21.34302	4.739336	12.06027	9.544219	7.488516	9.509239	15.14577	5.300185	3.293058	9.151391	3.362719	7.004851	3.198196	7.474347	4.686035	3.182669	1.245718	11.62171	6.528768	1.422938	9.849733	11.1004	9.129598	11.18475	3.786659	9.220187	7.558793	1.871824	1.94441	4.471654	5.322493	4.92453	13.47084	11.14003	5.240297	6.617749	9.773279	16.45587	8.080385	5.072815	16.16608	13.27974	19.64208	8.831006	3.145091	14.23376	8.218422	3.414731	15.8073	9.789104	16.0625	4.974132	10.89165	10.95665	8.975325	2.114493	3.010979	13.81287	8.184828	3.979597	8.164871	23.77219	15.6954	2.446174	2.990663	9.747986	9.892652	2.023618	2.072447	4.009493	8.066987	6.615049	11.37962	9.928233	16.48792
24/10/2017 20:00:00	6	16.91453	21.76014	27.87983	15.707	17.87614	25.97828	27.99253	24.92693	24.16952	6.784357	27.163	38.00088	14.68801	23.60798	4.854255	14.21193	10.40029	8.047054	9.862494	16.96863	5.662244	3.497314	9.58575	3.949639	7.662139	3.608281	8.125001	5.23059	3.355809	1.278989	13.38694	6.948756	1.446373	10.53724	11.42095	10.01777	11.92163	4.171541	10.03962	8.363399	1.84958	2.135902	4.775855	5.877173	5.421435	15.07858	12.21857	5.501741	7.299561	10.05996	18.65666	8.989831	4.92948	17.02556	14.25484	21.66351	11.30565	2.986676	15.36719	8.725365	3.713173	17.59499	10.51538	17.62412	5.627396	11.95551	11.97185	9.501395	2.719671	2.879308	15.46167	9.103433	4.323848	8.957932	27.08853	17.29476	2.430166	2.921356	10.54784	10.62423	2.178721	2.173513	4.213009	8.942317	7.652918	12.57635	10.65538	17.14113
24/10/2017 23:00:00	9	17.82298	24.37313	31.15224	16.68634	19.8038	28.50482	31.09242	27.5311	26.41933	7.254139	30.69742	42.69564	16.43406	26.02404	5.210497	15.63114	11.47429	8.772004	11.09432	18.97558	6.013505	3.779779	10.82597	4.098473	8.532165	3.361401	8.830418	5.493607	3.379531	1.284615	15.00024	7.370477	1.416574	12.08403	12.37814	10.91852	13.37741	4.156305	11.28173	8.909241	2.124748	2.189425	5.016657	6.305518	5.698989	16.57237	13.80474	6.153498	7.838717	11.0785	21.53206	9.999558	5.211333	18.83854	15.7335	23.32617	12.10011	3.577742	16.77307	9.704235	3.898077	19.09737	11.56925	19.69113	5.82638	13.64019	12.63652	9.79746	2.550585	3.155185	16.98351	10.14875	4.814042	10.29565	30.64912	19.3178	2.859571	2.85131	11.52858	11.53698	3.067267	2.203312	4.463494	10.0971	8.408568	14.4665	11.30372	18.48335
25/10/2017 02:00:00	12	18.73085	26.86676	35.53952	18.72865	21.76621	30.09275	35.28845	30.49395	29.2656	7.573512	34.54617	47.21677	17.84682	28.79245	5.609525	17.65724	12.6677	9.829639	11.512	21.28167	6.348684	3.964138	11.79134	4.121779	9.310096	3.651261	9.905278	5.935514	3.650714	1.279439	16.67138	7.75864	1.443962	13.49639	13.26302	11.65154	14.68505	4.549095	12.83365	10.21507	2.325274	2.452025	5.351007	6.50672	6.072365	18.68964	15.06904	6.773397	7.819141	11.84455	23.84905	10.58169	5.112164	20.49269	16.61503	25.58322	13.97347	3.895055	18.47024	10.78803	4.163411	20.26801	12.41234	22.00905	6.218077	15.28946	13.6746	10.82008	2.755097	3.104427	19.44621	11.33262	5.195003	10.70851	34.21629	21.22042	2.52011	2.751946	12.71053	12.77701	2.852305	2.407279	4.845191	10.96037	8.873978	16.39793	12.09098	19.85567
25/10/2017 05:00:00	15	19.58377	28.79901	39.71585	20.25938	23.81768	33.53788	38.10884	33.085	31.36214	8.243294	37.56617	51.10961	18.80018	32.1097	6.001128	19.03617	13.85086	10.76116	12.49807	22.95722	7.132178	4.292927	12.81706	4.073079	10.62441	3.635894	10.85458	6.736305	3.586709	1.442804	18.46679	8.423035	1.594855	15.48687	13.87912	13.05847	16.35898	4.916397	14.29261	11.04743	2.386866	2.271494	5.538127	7.331614	6.543367	20.50578	16.56858	7.494851	8.896025	12.64457	26.41361	11.47878	5.642731	22.11753	18.66366	28.04183	14.93159	4.168393	20.39369	11.75833	4.243452	22.07108	14.01099	24.31427	6.437089	16.47252	15.22301	11.84991	2.23771	3.536853	21.91625	12.13753	5.437288	11.30057	37.8806	23.20272	2.498573	3.077971	14.11678	13.45422	2.284416	2.447365	5.035625	12.66237	9.75908	18.24547	12.87483	20.33527
25/10/2017 08:00:00	18	21.28412	32.45275	43.57957	21.98475	26.0749	36.26685	41.85434	36.32965	34.88534	8.743782	40.82863	56.154	20.6542	34.95874	6.577055	20.6902	15.31999	11.85477	13.3511	25.50361	7.215024	4.350915	14.22081	4.511419	11.72641	3.900006	12.11168	7.257135	4.107669	1.403683	20.37719	8.887667	1.650789	16.57816	14.63066	14.04393	18.56844	4.962074	16.26929	12.54436	2.631142	2.640272	5.881673	7.664261	6.796934	22.47269	17.81903	8.395483	9.516702	13.37415	28.06491	12.8248	5.902823	24.11416	20.31348	30.68342	16.30359	4.472364	22.09342	12.52748	4.544596	24.10503	15.44572	27.4933	7.041174	18.39655	16.47606	12.50457	2.092923	3.48947	23.90694	13.13482	6.037996	12.32722	41.30156	26.12835	2.623717	2.788916	15.63092	14.73742	2.747928	2.135999	5.561178	14.29856	10.48853	20.16522	13.41635	21.46543
25/10/2017 11:00:00	21	22.38774	35.1749	47.64405	23.99097	28.68338	38.72203	44.86263	38.89872	37.97334	9.17412	44.8302	60.58524	23.25868	39.16153	6.070464	22.71482	16.99287	13.1699	14.19286	27.33228	7.802545	4.691245	15.41653	4.735382	12.59879	4.249046	13.07724	7.931428	3.984646	1.321936	22.73568	9.876766	1.538471	18.79128	15.75192	15.42592	19.43384	5.366148	18.51145	13.43803	2.7	2.822635	6.546384	8.001081	7.214059	24.24939	20.05504	8.699713	10.27866	14.69344	32.61277	14.07585	6.197212	26.25192	22.11975	33.21342	19.341	4.938609	24.18838	13.89665	4.864995	25.09075	17.14106	29.40254	7.470484	20.54892	17.66156	13.1163	2.227004	3.74098	26.51562	14.3609	6.228271	12.5765	44.66779	27.38261	2.894065	2.668656	17.15351	15.60246	2.294542	2.308397	5.724867	15.38346	12.04527	22.30289	14.36285	23.37689
25/10/2017 14:00:00	24	23.49194	38.37097	51.70366	26.03385	31.2136	42.28216	48.46957	42.99729	40.99882	9.922855	47.80514	64.34209	24.97041	42.77072	7.279635	25.30465	18.56279	14.39719	15.43805	29.29261	8.34376	5.222648	16.85779	5.147782	13.91581	4.320186	14.42226	8.713367	4.51023	1.633525	24.8031	10.24783	1.695504	20.13037	16.95899	16.906	21.51027	5.820499	20.85884	14.96922	2.844946	2.915794	6.968011	8.777724	7.793389	26.54484	21.62972	9.380559	10.6824	15.71154	35.53074	15.26383	6.552269	28.43705	23.97657	36.20545	21.27002	4.900515	25.99793	15.0917	5.086704	27.77914	19.0443	33.40102	7.82129	22.71577	19.40105	14.43486	3.165889	3.680674	29.82183	15.84182	6.871704	13.98228	48.00119	30.44621	2.771299	2.699742	19.43767	16.77798	2.757508	2.431516	6.192267	16.92212	12.80544	24.83889	15.04043	23.72761
25/10/2017 17:00:00	27	24.82056	41.57725	56.04091	28.6342	34.15372	44.43429	51.84769	46.78365	43.66414	11.18497	51.8072	67.89529	27.50937	46.03302	7.775803	27.00587	19.83325	15.6468	16.26278	32.90719	9.395608	5.31568	17.59865	5.00962	15.9462	4.71471	15.62221	9.344653	4.365542	1.475272	26.77908	11.31385	1.860219	21.85382	18.2328	18.52505	23.50894	5.848177	23.58086	16.02245	2.711283	2.800905	7.125654	8.85594	8.486419	29.81019	24.00972	10.37039	11.19137	17.05031	38.85263	16.78807	6.995849	30.23908	26.27142	38.11889	23.33403	5.345448	28.29741	16.33829	5.53469	30.04741	21.06716	36.08979	8.127899	25.00199	20.4732	15.49551	3.076555	3.59089	31.1834	17.20467	7.057539	14.87157	50.98091	35.04585	2.89146	2.879212	20.63291	18.27597	2.17287	2.322606	6.599203	19.02742	14.36738	27.79954	15.98857	26.14033
25/10/2017 20:00:00	30	26.04301	44.12309	60.21555	30.75323	36.98829	47.62202	54.93	49.74545	47.13824	11.71005	54.84541	71.14072	29.8754	49.43251	8.702411	28.4093	21.98713	17.70487	17.4931	35.09902	9.967541	5.858011	20.18174	5.42835	17.40071	4.647624	17.15998	10.08022	4.713875	1.786766	29.33546	12.05805	1.508029	23.86436	19.88009	20.25286	25.54556	6.37553	26.29428	17.65443	3.652675	3.174536	7.869256	9.765065	8.900754	32.46671	25.24051	11.11618	12.28186	18.41774	42.07231	17.70686	7.28661	32.81946	28.11255	41.94631	26.64829	6.241608	29.9548	18.10937	5.808154	31.36208	22.87992	38.21429	8.842476	28.52954	22.08633	16.29055	1.960354	3.625994	35.25609	19.15591	7.782138	16.05567	52.90267	37.92049	2.810549	3.087517	22.45121	19.45287	2.275641	2.368125	7.175418	20.19422	15.17573	30.16654	16.84172	27.13947
25/10/2017 23:00:00	33	27.36385	47.70803	63.78561	32.97762	40.39455	50.53047	58.31107	53.15956	48.57894	12.25046	58.60897	74.37177	32.83066	53.09344	9.59639	31.35	24.00524	18.85918	18.6895	37.90921	10.78067	6.340134	22.43379	6.185481	19.35377	5.143956	19.03089	11.11936	4.585163	1.62189	31.76824	12.88893	1.986714	26.59667	20.96222	21.64429	27.80798	6.911659	29.67695	18.99984	3.9498	3.4011	8.438432	10.42469	10.02149	35.47361	28.01159	12.38572	13.37539	20.56288	46.52198	20.18607	7.819911	34.72198	30.17319	44.26118	29.16261	6.454607	32.15047	19.21805	6.14588	35.05583	25.10803	42.57323	9.193349	30.56831	24.08278	17.48381	2.271976	4.07112	39.27877	21.04841	8.50462	16.59535	56.81414	39.4913	2.889627	3.306433	25.47898	20.85588	3.005867	2.640206	7.778667	22.70323	16.6527	33.00206	17.36627	29.20154
26/10/2017 02:00:00	36	28.69254	51.13024	67.645	35.5769	42.53597	53.84665	61.51961	55.83584	51.44271	13.10119	61.35257	77.05483	35.8384	56.55333	9.849731	33.24371	26.07604	20.43596	19.68701	40.57761	11.93969	6.950784	23.17141	5.915168	20.94223	5.400737	20.66365	12.3933	4.759202	1.861987	34.20013	13.7823	2.067302	28.44889	21.79939	23.48149	29.91102	7.458814	32.41444	20.66812	4.082531	3.873292	9.153161	11.31484	10.41463	38.43274	30.08316	12.95259	14.62729	21.35425	49.23362	21.6347	8.351702	37.17442	32.31226	47.5006	30.66922	6.969971	33.98706	20.87295	6.53716	36.34465	27.17268	44.76634	10.09407	34.26943	25.73795	18.96249	2.553929	4.23516	41.63697	22.60378	9.052638	17.93012	59.01345	44.46251	3.024545	3.38403	27.60223	22.07089	3.217741	2.757797	8.370986	24.82313	18.2166	36.33355	18.17372	29.94277
26/10/2017 05:00:00	39	29.91887	53.8886	70.81871	37.81343	45.42294	56.34041	64.72389	60.11084	54.59368	14.20444	64.82416	79.85738	38.54152	59.38788	10.79195	34.75996	28.41805	21.84653	21.37863	42.41621	13.13768	6.815189	26.2877	6.472064	23.86058	5.963518	22.35452	13.50125	5.149131	1.197274	36.52122	14.79667	1.715306	31.03256	23.95221	25.66912	31.8619	7.71492	35.59394	22.4726	4.275435	4.079219	9.520552	11.91353	10.94006	41.62111	32.16615	14.45396	15.77226	23.06708	54.16986	24.95295	8.863756	39.92783	34.51053	49.94286	34.34501	7.683386	36.57343	22.76665	6.92021	38.85985	29.20997	48.68377	10.65273	37.64066	27.72121	19.75845	1.683514	4.395017	45.2474	23.88798	9.578903	18.59079	62.52686	47.00363	3.018887	3.423861	29.9208	24.3349	2.993556	2.879694	8.966746	26.78867	20.27428	40.29475	19.97596	31.2814
26/10/2017 08:00:00	42	31.4784	57.69862	73.54501	41.02769	49.52924	58.95628	67.47178	63.02588	55.93001	15.19819	68.16122	82.47198	42.3021	62.52381	11.65765	37.15539	30.25566	24.04478	22.71761	46.48269	14.04233	7.886518	26.98351	6.738459	25.31104	6.476886	24.56549	15.27303	5.767297	1.582928	39.37436	16.09459	2.199809	32.58953	25.80973	27.97038	35.02166	8.492915	38.56822	24.28653	4.613706	4.359371	10.48246	12.2249	11.82991	45.07275	34.6807	15.58256	16.66452	24.69326	57.35203	26.9929	9.260921	42.06425	36.82588	51.96458	37.5609	8.649146	38.90604	24.23833	7.305606	41.35348	31.52179	52.73703	11.0111	40.31346	29.36162	21.04891	1.765453	4.477992	48.89985	25.58287	10.80347	20.21887	65.15948	49.26018	2.621177	3.724006	32.41324	26.00421	3.816169	3.023323	9.796694	29.80144	22.44369	43.59371	20.78288	33.78487
26/10/2017 11:00:00	45	33.50227	60.84347	76.41084	43.75358	52.84037	60.7483	69.93077	65.20583	58.7281	15.76394	70.98714	84.37475	45.93375	65.5941	12.1319	38.81709	32.57165	25.88501	23.87431	48.98394	14.93383	8.380153	30.79478	7.323224	28.07995	6.95554	26.53776	16.08163	5.905426	1.526159	42.2464	17.01566	2.65358	35.09791	27.29911	30.19333	36.26672	8.581416	41.45366	26.33308	5.033312	4.481075	11.24789	13.72608	12.59348	48.50801	36.85553	17.09279	17.10358	26.184	61.34098	28.80922	9.737571	43.80039	39.57121	54.46509	41.31985	9.30952	41.61674	26.3169	7.718006	43.22387	34.13829	55.59201	11.70818	43.64866	31.93692	22.26943	1.403298	4.734417	52.63624	27.98347	11.19729	20.97592	67.61118	52.28196	2.628442	4.002969	34.31094	27.95035	3.508854	3.246672	10.3887	32.44319	24.15831	47.23891	22.12718	34.62597
26/10/2017 14:00:00	48	34.41531	64.67082	79.07896	46.4631	55.79801	64.34472	72.20822	68.89439	60.36014	17.03388	73.43943	86.09951	49.4524	68.89375	13.4909	41.11726	35.13999	28.33522	25.78911	51.70927	16.15855	9.015349	32.3629	7.868998	29.92375	7.80458	28.59791	17.96597	6.413494	1.717459	44.67662	18.20972	2.483657	37.41659	29.05877	32.38225	39.53374	9.259725	44.66412	28.01282	5.337987	5.072498	11.89389	14.0531	14.16111	51.89896	39.35899	18.6265	18.4893	28.14315	65.55866	30.58153	10.17839	46.23546	41.71687	57.06437	43.84104	9.45806	44.46973	28.32472	8.253271	46.18846	36.57494	59.33984	12.25617	46.8063	34.50888	23.88068	1.714566	5.020613	57.17896	29.93383	12.30025	21.99538	69.96686	58.71918	2.345044	4.087896	37.15663	29.68539	4.148239	3.324497	11.00737	35.12106	27.22279	50.81315	24.05163	35.87649
26/10/2017 17:00:00	51	36.3779	67.34509	81.27521	49.29521	59.60818	66.58881	75.01711	71.30103	63.15902	17.77704	75.77804	87.29235	51.99551	71.67513	14.2866	43.74619	37.3275	30.27129	27.2931	54.0021	17.86634	9.018826	34.65016	8.476009	31.22629	8.685471	30.91772	20.26089	6.812778	1.533616	47.72163	19.33345	2.481953	39.51624	31.53453	34.67074	41.57906	10.09057	48.50716	30.57721	6.033176	5.440245	12.89167	15.19183	14.80753	54.88917	41.96817	20.18404	20.31687	30.50626	68.04331	32.23449	11.06266	48.58369	43.82564	59.51971	45.47103	10.76955	47.29644	30.27608	8.909434	47.6881	39.52018	62.56608	13.01697	50.47934	37.7815	25.60711	2.067014	5.121358	58.52811	31.92996	13.12222	22.88251	71.9442	59.81017	2.610826	4.492679	39.53245	30.77376	3.529813	3.589861	12.0207	38.44193	30.05531	54.19629	25.04856	37.53458
26/10/2017 20:00:00	54	37.95332	69.49165	83.63595	51.96121	62.4673	67.48302	76.47382	73.42037	64.45274	20.08615	78.62785	88.86877	55.95728	74.41784	15.98317	44.98996	39.68441	32.58822	29.0671	57.1815	18.82731	10.33552	36.0327	9.008442	34.4198	9.298943	33.5045	21.55835	6.845277	1.766707	50.67959	20.84218	2.840027	41.81753	33.7197	37.61114	44.62141	10.32999	51.68917	33.13942	6.209174	5.912181	13.76173	16.06957	15.74986	58.47427	44.75729	21.92917	21.09803	31.44081	71.07086	35.79353	11.79494	50.25195	45.88655	61.891	51.50338	11.35689	49.86768	32.30406	9.399272	50.43356	42.22496	64.76042	14.08779	54.12546	40.0499	27.13005	1.937916	5.445646	62.11641	34.36813	13.4277	23.9694	71.87376	62.12785	2.626802	4.378657	42.60171	33.95738	4.133866	3.385349	13.05413	41.82569	32.7099	59.13613	26.56763	40.06139
26/10/2017 23:00:00	57	39.2206	74.00829	85.49332	54.6995	65.51202	70.34466	78.41574	75.85181	66.29787	20.59656	80.91392	89.82388	59.59011	77.09976	17.30363	45.38874	42.69024	35.30846	30.84734	59.96123	20.4836	10.99358	37.65229	9.708707	36.81298	10.04949	35.33193	23.60898	7.240416	1.871599	52.87843	21.65362	3.466904	43.69231	35.07176	39.91209	46.96956	11.03199	54.51657	35.38069	6.893144	6.407838	14.58305	16.8647	17.14129	61.64956	47.1559	22.90184	22.58233	33.56728	73.5154	38.98986	12.132	52.48938	48.71936	63.27981	55.327	12.4061	52.6323	34.08617	10.17826	52.96763	44.76483	67.95636	14.6	57.25681	42.32756	28.71318	1.529856	5.388554	66.00225	36.51086	14.65883	25.08398	75.15677	66.01978	2.56145	4.931277	46.11074	35.24571	4.512321	3.467193	14.35821	44.85158	35.64272	61.93947	28.09117	41.56593
27/10/2017 02:00:00	60	41.10448	76.67682	86.96384	57.22246	68.57151	72.12467	80.61753	78.97613	68.46574	23.16736	82.56693	90.8069	63.35965	79.50823	18.57339	48.38442	44.52169	38.52517	32.74092	62.32803	21.89008	11.95088	39.64189	11.01743	39.28336	10.72095	38.71103	26.22354	7.77751	1.774808	56.05766	22.83726	3.090379	46.37463	38.28327	42.16939	49.46749	12.59663	58.12639	38.00479	6.841581	7.019831	15.62985	18.23419	18.31066	64.4332	49.57875	25.258	22.90439	36.65276	75.78837	42.06192	13.34518	54.63767	50.74472	66.66654	57.66697	13.51871	55.53683	37.1655	10.81658	55.34078	47.78786	69.28702	15.47931	60.6642	45.26112	30.47927	1.89603	5.752573	68.43488	38.6548	15.71938	26.18451	75.37849	69.08181	2.706587	5.291636	47.66275	37.80997	4.164888	3.794758	15.89445	49.20446	38.25891	66.065	29.38955	42.68993
27/10/2017 05:00:00	63	41.75208	79.90977	88.49096	59.78276	70.694	74.10291	82.34454	79.9537	70.50727	24.81347	84.60145	91.85518	66.68974	81.64153	20.081	50.95218	47.5018	41.0247	34.43309	65.01819	23.454	12.74437	42.40154	11.29504	41.44217	11.63059	41.23398	28.50349	8.516127	1.944892	58.23741	24.52703	3.404798	48.05898	40.88952	45.94745	51.88838	13.10608	61.77509	40.41109	7.907186	7.341864	16.79411	19.15199	19.36306	67.41347	51.98575	26.59929	23.88557	38.83605	78.20611	44.78074	13.90346	56.7367	52.56296	68.64276	60.95383	15.0232	57.37379	38.81012	11.3844	57.54472	50.49984	74.55153	16.58403	63.34099	48.10143	31.982	1.568977	6.044683	71.94525	41.20889	17.30076	27.63783	77.38983	70.65524	2.953534	5.520095	50.54359	39.51031	4.364964	4.141549	17.82596	52.47009	41.88724	69.5252	30.75836	45.25001
27/10/2017 08:00:00	66	44.87197	82.16443	89.84257	62.72706	73.34119	75.53429	83.37387	81.87239	71.79972	25.60892	86.25872	92.94123	70.01164	83.72093	21.21943	52.35184	49.84634	45.13984	36.33244	67.70428	25.15642	13.83152	44.70911	12.35422	44.88622	13.23379	43.70001	31.56262	8.813185	1.734978	60.44464	25.52675	3.943468	51.16874	43.08162	48.44292	54.22599	13.34104	64.09695	43.57108	8.22935	7.772852	17.65453	20.23569	21.12597	69.82818	54.15238	28.4384	26.64371	39.97536	80.21651	47.84576	14.69133	58.62959	54.94289	70.53349	65.05344	16.11017	60.58364	41.04394	12.01839	59.31243	53.65797	76.45892	17.83545	67.02267	50.89795	33.77541	1.786702	6.695927	72.93411	43.05793	18.33088	28.66116	80.0019	73.3849	2.836426	5.5191	53.30315	41.45551	4.277303	4.332497	18.90935	56.62428	44.66975	73.28598	31.88723	48.12213
27/10/2017 11:00:00	69	45.45143	85.47854	89.98693	65.14943	75.30589	76.47027	83.17783	84.51081	74.09712	28.80249	87.95358	93.20053	72.12582	85.45587	21.92373	54.12282	51.24602	49.21066	38.40545	69.52754	26.33117	14.8933	47.02513	12.73807	47.3992	14.45913	46.81338	32.52028	8.647991	2.361599	62.80312	26.33238	4.228793	52.84196	45.5012	50.70255	56.4984	14.33948	67.62813	45.28034	9.737991	9.100345	18.70637	22.00018	22.68939	73.25981	55.73262	29.249	29.22669	44.4939	81.93305	52.44193	16.50898	61.01076	56.78375	70.6058	69.18198	17.34497	62.21975	42.51972	12.98656	60.10574	57.51826	78.21718	20.06787	68.21799	54.00089	35.89322	1.901689	7.117519	76.76728	46.14745	21.1198	30.11017	80.45507	76.38216	2.941253	6.913878	53.43655	44.5901	4.600916	4.882383	20.79672	60.01159	47.0132	75.92251	33.84006	51.03284
